id,created_at,is_active,name,website,country,locale,currency,last_check,is_scrapable,not_scrapable_reason,scrape_with_js,search_url,search_tag,search_class,search_link,search_next_page,product_name_class,product_name_tag,product_price_class,product_price_tag,product_image_class,product_image_tag,product_thumb_class,product_thumb_tag,product_is_available_class,product_is_available_tag,product_is_available_match,product_variations_class,product_variations_tag,product_description_class,product_description_tag
3,2021-12-03 06:34:27.258285+00:00,True,RHobbyFPV,https://www.rhobbyfpv.it/,Italy,it_IT,EUR,2021-12-11 21:46:37.566998+00:00,True,,False,https://www.rhobbyfpv.it/?post_type=product&s=,li,jet-woo-builder-product,jet-woo-builder-archive-product-title,,product_title,h1,woocommerce-Price-amount,span,wp-post-image,img,,,stock,p,(\d+ disponibili),variations,table,,
4,2021-12-03 06:34:20.720588+00:00,True,FarinFrames,https://www.farinsframes.com/,Italy,en_US,EUR,2021-12-11 21:46:52.905167+00:00,True,,False,https://www.farinsframes.com/search.php?search_query=,li,product,card-title,pagination-item--next,productView-title,h1,price--withoutTax,span,productView-img-container,div,,,productView-info-value,dt,(Disponibile),form-option-wrapper,div,,
8,2021-12-10 20:06:47.851370+00:00,True,BetaFPV,https://betafpv.com/,China,en_US,USD,2021-12-10 19:57:43.993574+00:00,True,,False,https://betafpv.com/search?type=product%2Carticle%2Cpage&q=,div,grid-product,grid-product__link,next,product-single__title,h1,money,span,lazyloaded,img,,,,,,variant-wrapper,div,product-single__description,div
6,2021-12-03 06:34:05.135418+00:00,True,PersonalDrones,https://www.personaldrones.it/,Italy,it_IT,EUR,2021-11-30 12:59:46.252011+00:00,True,,True,https://www.personaldrones.it/ricerca?controller=search&orderby=position&orderway=desc&search_category=all&s=,div,item-inner,productName,next,h1,h1,current-price,div,js-qv-product-cover,img,,,product-add-to-cart,div,\w*\s*Pronta consegna|Ultimi articoli in magazzino,,,,
5,2021-12-03 06:34:14.370493+00:00,True,B2B Drone,https://www.b2bonline.it/,Italy,it_IT,EUR,2021-11-21 20:15:46.732324+00:00,True,,False,http://b2bonline.it/it/index.php?fc=module&module=leoproductsearch&controller=productsearch&search_query=,div,ajax_block_product,product-title,,product-detail-name,h1,current-price,div,js-qv-product-cover,img,,,product-availability,span,(DISPONIBILITA' IMMEDIATA),,,,
2,2021-12-03 06:34:36.348699+00:00,True,CostruzioneDroni,https://www.costruzionedroni.it/,Italy,it_IT,EUR,2021-11-21 13:44:02.214782+00:00,True,,False,https://www.costruzionedroni.it/ricerca?controller=search&s=,div,product_list_item,pro_first_box,,product_name,h1,current-price,div,pro_gallery_item,img,,,product-available,div,Disponibile,,,,
1,2021-12-03 06:34:43.967743+00:00,True,Drone24Hours,https://www.drone24hours.com/,Italy,en_US,EUR,2021-11-30 19:08:17.657760+00:00,True,,False,https://www.drone24hours.com/?post_type=product&type_aws=true&s=,div,product-inner,woo-loop-product__title,next,product_title,h1,woocommerce-Price-amount,span,wp-post-image,img,,,stock,p,(\d+ disponibili),variations,table,woocommerce-Tabs-panel--description,div
9,2021-12-10 20:07:50.712206+00:00,True,HGLRC,https://www.hglrc.com/,China,en_US,USD,2021-12-10 20:10:33.849261+00:00,True,,False,https://www.hglrc.com/search?type=product&options%5Bunavailable_products%5D=last&options%5Bprefix%5D=last&q=,div,product-inner,cd,next,product_title,h1,money,span,op_0,img,,,,,,swatch,div,sp-tab-content,div
7,2021-12-03 15:38:49.327010+00:00,True,Drone FPV Racer,https://www.drone-fpv-racer.com/,France,en_US,EUR,2021-12-03 15:38:21.002496+00:00,True,,False,https://www.drone-fpv-racer.com/en/recherche?controller=search&s=,article,col-xl-2,d-block,next,product-title,h1,current-price,div,js-qv-product-cover,img,,,available,span,Same day shipping,product-variants,div,product-caracteristiques,div
10,2021-12-11 15:28:29.036078+00:00,True,GetFPV,https://www.getfpv.com/,United States,en_US,USD,2021-12-11 15:28:29.032584+00:00,True,,False,https://www.getfpv.com/catalogsearch/result/?q=,li,item,product-name,next,product-name,div,price,span,gallery-image,img,,,div_availability,div,In Stock,product-options,div,std,div
11,2021-12-11 20:33:26.843343+00:00,True,Rotor Riot,https://rotorriot.com/,United States,en_US,USD,2021-12-11 20:43:24.113943+00:00,True,,False,https://rotorriot.com/search?type=product&q=,div,product-item,product-item__title,pagination__next,product-meta__title,h1,price,span,product-gallery__image,img,,,product-form__inventory,span,(Low stock - order soon!|In Stock),product-form__option,div,text--pull,div
